matricula_bici,pais,ciudad,numero_localizacion_origen,numero_localizacion_destino,inicio_utc,fin_utc,duracion_min,coste_eur,tipo_bici,bateria_inicio_pct,bateria_fin_pct,distancia_km,incidencia,tarifa
EB-OSL-003957,NO,Oslo,149,579,2025-01-23 16:03:58+00:00,2025-01-23 16:12:58+00:00,9,1.58,electric,98.0,93.0,2.31,none,standard
EB-PAR-001058,FR,Paris,73,279,2025-06-24 00:50:21+00:00,2025-06-24 01:58:21+00:00,68,5.76,electric,62.0,24.0,11.65,none,plus
EB-BCN-002939,ES,Barcelona,167,374,2024-09-01 23:29:50+00:00,2024-09-01 23:42:50+00:00,13,1.64,electric,94.0,86.0,2.71,none,standard
EB-ZRH-002067,CH,Zurich,108,249,2024-05-01 01:09:11+00:00,2024-05-01 01:12:11+00:00,3,1.25,electric,50.0,48.0,0.56,none,standard
EB-ROM-004846,IT,Rome,748,796,2024-06-05 13:41:58+00:00,2024-06-05 14:53:58+00:00,72,6.36,electric,96.0,61.0,16.98,none,standard
EB-LIS-001911,PT,Lisbon,234,21,2024-04-21 00:16:36+00:00,2024-04-21 00:21:36+00:00,5,0.3,electric,91.0,85.0,1.51,none,payg
EB-ROM-001489,IT,Rome,118,376,2024-02-29 13:44:15+00:00,2024-02-29 13:52:15+00:00,8,1.24,electric,60.0,54.0,2.31,none,standard
EB-ATH-000276,GR,Athens,477,252,2024-04-21 04:33:31+00:00,2024-04-21 05:01:31+00:00,28,2.04,electric,95.0,82.0,5.37,none,plus
EB-MAD-001011,ES,Madrid,703,270,2025-11-27 06:19:45+00:00,2025-11-27 07:11:45+00:00,52,4.76,electric,92.0,62.0,11.54,none,standard
EB-DUB-001431,IE,Dublin,418,800,2024-11-19 06:09:25+00:00,2024-11-19 06:29:25+00:00,20,0.7,electric,41.0,25.0,5.68,none,payg
EB-ATH-004640,GR,Athens,247,583,2025-08-18 13:19:50+00:00,2025-08-18 13:59:50+00:00,40,3.8,electric,60.0,34.0,7.02,none,standard
EB-LIS-003512,PT,Lisbon,464,5,2024-04-17 21:25:26+00:00,2024-04-17 21:38:26+00:00,13,0.3,electric,98.0,87.0,2.76,none,payg
EB-MUC-000983,DE,Munich,748,663,2025-03-21 08:46:35+00:00,2025-03-21 08:52:35+00:00,6,1.08,electric,94.0,91.0,1.26,none,standard
EB-OSL-002526,NO,Oslo,638,644,2024-06-02 14:17:35+00:00,2024-06-02 15:03:35+00:00,46,3.34,electric,26.0,0.0,12.97,none,payg
EB-WAW-001496,PL,Warsaw,313,484,2024-08-26 12:15:27+00:00,2024-08-26 12:26:27+00:00,11,1.3,mechanical,,,2.47,none,standard
EB-ROM-001656,IT,Rome,446,617,2025-08-01 03:48:10+00:00,2025-08-01 04:19:10+00:00,31,2.3,mechanical,,,5.39,none,standard
EB-CPH-003739,DK,Copenhagen,247,413,2025-09-19 16:22:20+00:00,2025-09-19 17:11:20+00:00,49,3.68,mechanical,,,7.68,none,standard
EB-VIE-000138,AT,Vienna,583,261,2024-08-18 16:05:35+00:00,2024-08-18 16:13:35+00:00,8,1.24,electric,56.0,53.0,1.63,none,standard
EB-WAW-000181,PL,Warsaw,742,594,2025-01-28 10:12:51+00:00,2025-01-28 10:23:51+00:00,11,0.3,electric,21.0,13.0,2.78,none,payg
EB-PAR-004351,FR,Paris,330,490,2025-01-26 12:02:09+00:00,2025-01-26 12:18:09+00:00,16,0.42,electric,42.0,33.0,3.02,none,payg
EB-DUB-001593,IE,Dublin,259,94,2024-01-13 09:03:12+00:00,2024-01-13 09:11:12+00:00,8,1.15,mechanical,,,1.62,none,standard
EB-BUD-001283,HU,Budapest,472,524,2024-06-03 23:20:16+00:00,2024-06-03 23:43:16+00:00,23,0.94,electric,24.0,12.0,5.4,none,payg
EB-MAD-002640,ES,Madrid,208,699,2024-04-07 00:27:27+00:00,2024-04-07 01:06:27+00:00,39,3.72,electric,96.0,70.0,11.58,none,standard
EB-ATH-003546,GR,Athens,35,719,2025-01-17 03:02:18+00:00,2025-01-17 03:12:18+00:00,10,1.4,electric,39.0,33.0,2.87,none,standard
EB-VIE-002888,AT,Vienna,652,729,2025-06-27 10:35:16+00:00,2025-06-27 10:50:16+00:00,15,0.3,electric,92.0,77.0,4.43,none,payg
EB-MAD-004493,ES,Madrid,475,747,2025-10-30 03:37:10+00:00,2025-10-30 03:42:10+00:00,5,0.3,mechanical,,,0.54,vandalism,payg
EB-MUC-002841,DE,Munich,227,615,2025-04-12 18:55:23+00:00,2025-04-12 19:19:23+00:00,24,0.75,mechanical,,,4.84,none,payg
EB-AMS-004330,NL,Amsterdam,556,303,2025-02-09 11:26:36+00:00,2025-02-09 11:32:36+00:00,6,1.1,mechanical,,,1.03,none,standard
EB-BRU-000740,BE,Brussels,661,382,2025-11-11 00:48:40+00:00,2025-11-11 00:53:40+00:00,5,0.3,electric,31.0,25.0,1.55,none,payg
EB-MAD-000050,ES,Madrid,695,161,2024-11-15 20:15:03+00:00,2024-11-15 20:47:03+00:00,32,1.15,mechanical,,,7.35,none,payg
EB-ATH-002251,GR,Athens,647,558,2025-12-10 12:59:12+00:00,2025-12-10 13:28:12+00:00,29,2.92,electric,44.0,16.0,8.05,none,standard
EB-CPH-002954,DK,Copenhagen,162,682,2025-02-24 23:47:09+00:00,2025-02-25 00:35:09+00:00,48,2.88,mechanical,,,14.17,none,plus
EB-MUC-004908,DE,Munich,709,414,2025-02-15 11:30:11+00:00,2025-02-15 11:44:11+00:00,14,1.72,electric,40.0,32.0,2.22,none,standard
EB-BRU-000121,BE,Brussels,527,770,2025-08-16 23:08:36+00:00,2025-08-16 23:14:36+00:00,6,0.6,electric,74.0,70.0,1.16,none,plus
EB-MAD-003670,ES,Madrid,65,438,2024-04-22 17:09:26+00:00,2024-04-22 17:34:26+00:00,25,1.1,electric,97.0,77.0,5.2,none,payg
EB-DUB-004980,IE,Dublin,384,326,2024-12-10 14:51:54+00:00,2024-12-10 15:04:54+00:00,13,0.3,electric,37.0,29.0,3.09,none,payg
EB-PRG-002733,CZ,Prague,447,307,2025-05-09 19:58:31+00:00,2025-05-09 20:14:31+00:00,16,0.35,mechanical,,,3.4,none,payg
EB-WAW-000703,PL,Warsaw,638,728,2024-07-01 02:57:11+00:00,2024-07-01 03:03:11+00:00,6,0.6,mechanical,,,1.41,none,plus
EB-VIE-004133,AT,Vienna,695,302,2024-09-26 07:30:27+00:00,2024-09-26 07:49:27+00:00,19,0.62,electric,99.0,91.0,3.08,none,payg
EB-DUB-004451,IE,Dublin,606,785,2025-07-12 19:00:13+00:00,2025-07-12 19:23:13+00:00,23,2.44,electric,73.0,54.0,6.5,none,standard
EB-VIE-002483,AT,Vienna,408,513,2024-02-09 08:24:10+00:00,2024-02-09 10:19:10+00:00,115,9.8,electric,99.0,7.0,28.15,none,standard
EB-PRG-001947,CZ,Prague,557,787,2024-08-15 02:58:46+00:00,2024-08-15 03:03:46+00:00,5,1.0,mechanical,,,1.0,none,standard
EB-HEL-003181,FI,Helsinki,756,376,2024-07-17 07:03:55+00:00,2024-07-17 07:08:55+00:00,5,0.3,electric,100.0,96.0,1.22,none,payg
EB-ATH-001812,GR,Athens,217,612,2024-04-11 16:16:10+00:00,2024-04-11 16:33:10+00:00,17,1.96,electric,89.0,79.0,3.79,none,standard
EB-WAW-001433,PL,Warsaw,455,490,2024-07-10 15:55:29+00:00,2024-07-10 16:04:29+00:00,9,0.6,electric,60.0,52.0,2.16,none,plus
EB-HEL-000527,FI,Helsinki,398,768,2024-02-21 01:25:12+00:00,2024-02-21 01:53:12+00:00,28,2.84,electric,68.0,47.0,6.85,none,standard
EB-LIS-002958,PT,Lisbon,307,585,2024-05-19 21:29:57+00:00,2024-05-19 22:03:57+00:00,34,2.45,mechanical,,,4.94,none,standard
EB-WAW-002173,PL,Warsaw,664,630,2025-07-17 12:19:47+00:00,2025-07-17 12:51:47+00:00,32,3.16,electric,44.0,23.0,6.29,none,standard
EB-HEL-001435,FI,Helsinki,55,242,2024-02-16 03:32:21+00:00,2024-02-16 03:54:21+00:00,22,1.56,electric,55.0,42.0,4.81,none,plus
EB-BER-002852,DE,Berlin,264,520,2025-10-31 07:08:46+00:00,2025-10-31 07:36:46+00:00,28,0.95,mechanical,,,6.87,none,payg
EB-ROM-001892,IT,Rome,537,129,2025-01-21 18:03:50+00:00,2025-01-21 18:40:50+00:00,37,2.06,electric,75.0,49.0,8.39,none,payg
EB-LIS-000165,PT,Lisbon,246,221,2024-08-16 09:16:57+00:00,2024-08-16 09:33:57+00:00,17,1.96,electric,66.0,56.0,4.13,none,standard
EB-BER-003197,DE,Berlin,256,289,2024-06-29 23:13:43+00:00,2024-06-29 23:34:43+00:00,21,2.28,electric,23.0,9.0,4.5,none,standard
EB-CPH-000261,DK,Copenhagen,557,522,2024-08-27 09:21:07+00:00,2024-08-27 09:24:07+00:00,3,0.69,electric,69.0,67.0,0.85,none,plus
EB-VIE-000517,AT,Vienna,281,679,2024-08-19 18:04:56+00:00,2024-08-19 18:14:56+00:00,10,1.4,electric,83.0,77.0,2.42,none,standard
EB-STO-003638,SE,Stockholm,319,215,2025-07-13 01:16:21+00:00,2025-07-13 01:42:21+00:00,26,2.05,mechanical,,,4.96,none,standard
EB-ZRH-000439,CH,Zurich,3,267,2025-12-30 22:04:32+00:00,2025-12-30 22:19:32+00:00,15,0.38,mechanical,,,2.31,none,payg
EB-BUD-002746,HU,Budapest,697,546,2024-09-22 15:32:34+00:00,2024-09-22 15:36:34+00:00,4,1.0,mechanical,,,0.75,none,standard
EB-VIE-000575,AT,Vienna,635,117,2025-11-28 00:16:45+00:00,2025-11-28 00:34:45+00:00,18,1.65,mechanical,,,2.86,none,standard
EB-PAR-001943,FR,Paris,138,788,2024-08-23 02:05:20+00:00,2024-08-23 02:17:20+00:00,12,1.72,electric,49.0,42.0,2.67,none,standard
EB-PAR-002964,FR,Paris,264,482,2024-07-09 13:07:49+00:00,2024-07-09 13:18:49+00:00,11,0.33,electric,49.0,39.0,2.5,none,payg
EB-BER-003539,DE,Berlin,87,493,2024-07-14 07:30:29+00:00,2024-07-14 07:40:29+00:00,10,0.6,electric,95.0,89.0,2.41,none,plus
EB-BCN-003339,ES,Barcelona,258,412,2024-05-13 16:20:54+00:00,2024-05-13 16:26:54+00:00,6,0.3,mechanical,,,0.97,none,payg
EB-BRU-001703,BE,Brussels,778,501,2024-01-12 12:05:20+00:00,2024-01-12 12:47:20+00:00,42,2.46,electric,20.0,0.0,13.39,none,payg
EB-ROM-000976,IT,Rome,741,217,2024-08-16 02:05:36+00:00,2024-08-16 02:56:36+00:00,51,3.88,electric,59.0,33.0,10.26,none,plus
EB-LIS-002728,PT,Lisbon,48,188,2025-05-23 04:40:20+00:00,2025-05-23 05:30:20+00:00,50,4.6,electric,49.0,27.0,7.48,none,standard
EB-ROM-002507,IT,Rome,587,477,2024-09-20 23:45:24+00:00,2024-09-20 23:51:24+00:00,6,1.08,electric,70.0,68.0,1.1,none,standard
EB-LIS-002714,PT,Lisbon,201,477,2025-04-02 07:08:32+00:00,2025-04-02 07:46:32+00:00,38,2.84,electric,69.0,35.0,11.72,none,plus
EB-VIE-003677,AT,Vienna,498,470,2024-08-07 08:19:18+00:00,2024-08-07 08:35:18+00:00,16,0.35,mechanical,,,4.26,none,payg
EB-CPH-002794,DK,Copenhagen,550,658,2025-08-30 00:18:53+00:00,2025-08-30 00:34:53+00:00,16,0.44,electric,31.0,17.0,3.95,none,payg
EB-MUC-004288,DE,Munich,35,385,2025-05-20 18:57:10+00:00,2025-05-20 19:10:10+00:00,13,1.4,mechanical,,,1.83,none,standard
EB-BER-001605,DE,Berlin,421,36,2025-05-13 05:27:49+00:00,2025-05-13 05:50:49+00:00,23,0.94,electric,28.0,0.0,7.95,none,payg
EB-PRG-003531,CZ,Prague,119,523,2025-03-02 06:25:16+00:00,2025-03-02 06:37:16+00:00,12,0.7,mechanical,,,1.0,none,plus
EB-BCN-001419,ES,Barcelona,38,247,2024-02-25 00:06:46+00:00,2024-02-25 00:16:46+00:00,10,0.6,mechanical,,,1.98,none,plus
EB-PAR-003991,FR,Paris,149,682,2024-02-04 12:51:07+00:00,2024-02-04 13:03:07+00:00,12,0.33,mechanical,,,2.62,none,payg
EB-CPH-000621,DK,Copenhagen,389,162,2025-09-10 07:44:21+00:00,2025-09-10 08:04:21+00:00,20,1.61,electric,72.0,59.0,5.27,none,plus
EB-VIE-004819,AT,Vienna,553,429,2024-10-25 21:33:05+00:00,2024-10-25 21:56:05+00:00,23,0.94,electric,69.0,50.0,5.12,none,payg
EB-PAR-003735,FR,Paris,357,174,2024-10-31 01:05:56+00:00,2024-10-31 01:33:56+00:00,28,3.12,electric,61.0,46.0,6.62,none,standard
EB-BER-000650,DE,Berlin,566,16,2024-10-19 09:24:22+00:00,2024-10-19 09:33:22+00:00,9,0.6,electric,29.0,25.0,1.75,none,plus
EB-PAR-003310,FR,Paris,130,675,2025-12-22 07:35:29+00:00,2025-12-22 07:42:29+00:00,7,0.66,electric,30.0,24.0,2.05,none,plus
EB-BCN-004838,ES,Barcelona,317,125,2025-12-08 01:24:04+00:00,2025-12-08 01:59:04+00:00,35,2.5,mechanical,,,6.46,none,standard
EB-WAW-000351,PL,Warsaw,668,755,2025-11-14 13:43:46+00:00,2025-11-14 13:50:46+00:00,7,0.3,electric,30.0,26.0,1.42,none,payg
EB-DUB-001588,IE,Dublin,19,97,2024-04-07 03:30:07+00:00,2024-04-07 03:42:07+00:00,12,0.3,electric,20.0,10.0,2.67,none,payg
EB-PAR-000087,FR,Paris,786,71,2025-04-20 19:54:53+00:00,2025-04-20 20:02:53+00:00,8,1.36,electric,78.0,71.0,1.82,none,standard
EB-BER-001819,DE,Berlin,221,694,2024-09-04 11:29:28+00:00,2024-09-04 12:08:28+00:00,39,2.7,mechanical,,,7.77,none,standard
EB-BCN-004314,ES,Barcelona,261,78,2024-05-09 12:37:13+00:00,2024-05-09 12:42:13+00:00,5,0.3,mechanical,,,0.9,none,payg
EB-DUB-002643,IE,Dublin,640,269,2024-09-07 06:20:16+00:00,2024-09-07 07:53:16+00:00,93,8.04,electric,60.0,10.0,23.16,none,standard
EB-ROM-004801,IT,Rome,281,515,2025-05-09 04:57:19+00:00,2025-05-09 05:25:19+00:00,28,2.04,electric,43.0,20.0,8.49,none,plus
EB-LIS-004582,PT,Lisbon,768,215,2024-01-13 17:55:50+00:00,2024-01-13 18:26:50+00:00,31,2.3,mechanical,,,7.16,none,standard
EB-WAW-004885,PL,Warsaw,69,406,2024-05-16 22:17:29+00:00,2024-05-16 22:49:29+00:00,32,1.66,electric,42.0,12.0,8.2,none,payg
EB-WAW-000064,PL,Warsaw,311,554,2025-09-10 12:58:23+00:00,2025-09-10 13:10:23+00:00,12,0.76,electric,64.0,53.0,3.34,none,plus
EB-BRU-004774,BE,Brussels,707,292,2024-04-09 10:49:55+00:00,2024-04-09 10:55:55+00:00,6,0.3,mechanical,,,1.01,none,payg
EB-HEL-004303,FI,Helsinki,214,15,2024-01-26 23:10:35+00:00,2024-01-26 23:30:35+00:00,20,1.75,mechanical,,,3.72,none,standard
EB-ZRH-002953,CH,Zurich,19,390,2024-07-11 04:52:20+00:00,2024-07-11 05:31:20+00:00,39,2.77,electric,79.0,46.0,10.06,none,payg
EB-ROM-001743,IT,Rome,235,505,2024-11-21 20:58:24+00:00,2024-11-21 21:22:24+00:00,24,2.52,electric,65.0,51.0,6.74,none,standard
EB-BUD-004919,HU,Budapest,491,74,2024-04-20 02:31:48+00:00,2024-04-20 02:40:48+00:00,9,1.32,electric,62.0,57.0,1.88,none,standard
EB-OSL-003757,NO,Oslo,404,437,2025-10-27 08:56:26+00:00,2025-10-27 09:08:26+00:00,12,1.87,electric,58.0,47.0,3.56,none,standard
EB-MAD-000365,ES,Madrid,468,716,2024-01-12 04:20:07+00:00,2024-01-12 04:38:07+00:00,18,2.04,electric,74.0,60.0,5.57,none,standard
EB-BCN-001847,ES,Barcelona,277,506,2024-10-19 19:47:24+00:00,2024-10-19 20:00:24+00:00,13,0.3,electric,34.0,21.0,3.43,none,payg
EB-ROM-002463,IT,Rome,156,594,2024-06-01 12:22:37+00:00,2024-06-01 12:27:37+00:00,5,1.0,electric,46.0,44.0,0.92,none,standard
EB-HEL-004947,FI,Helsinki,467,783,2024-12-14 06:16:21+00:00,2024-12-14 06:25:21+00:00,9,1.32,electric,51.0,41.0,2.77,none,standard
EB-WAW-000682,PL,Warsaw,627,686,2025-11-19 09:01:48+00:00,2025-11-19 09:15:48+00:00,14,0.3,electric,48.0,37.0,3.2,none,payg
EB-STO-001138,SE,Stockholm,103,798,2024-12-30 14:03:59+00:00,2024-12-30 14:35:59+00:00,32,2.36,electric,20.0,0.0,7.37,none,plus
EB-MAD-001110,ES,Madrid,22,301,2024-04-28 18:53:32+00:00,2024-04-28 19:14:32+00:00,21,1.48,electric,44.0,34.0,4.65,none,plus
EB-HEL-002174,FI,Helsinki,379,479,2025-12-21 20:54:09+00:00,2025-12-21 21:12:09+00:00,18,1.24,electric,36.0,28.0,3.2,none,plus
EB-ROM-000433,IT,Rome,26,344,2024-05-26 00:37:05+00:00,2024-05-26 01:02:05+00:00,25,2.6,electric,65.0,44.0,9.35,none,standard
EB-ZRH-001380,CH,Zurich,460,788,2024-10-14 07:30:02+00:00,2024-10-14 07:35:02+00:00,5,0.38,electric,75.0,73.0,1.08,none,payg
EB-MUC-000313,DE,Munich,213,713,2025-09-23 13:22:48+00:00,2025-09-23 13:38:48+00:00,16,1.55,mechanical,,,2.88,none,standard
EB-BRU-003600,BE,Brussels,454,768,2025-01-26 00:07:55+00:00,2025-01-26 00:57:55+00:00,50,3.8,electric,72.0,22.0,12.78,none,plus
EB-HEL-004626,FI,Helsinki,578,25,2025-03-24 14:36:46+00:00,2025-03-24 14:49:46+00:00,13,0.3,mechanical,,,2.64,none,payg
EB-AMS-003978,NL,Amsterdam,670,156,2024-06-04 01:50:56+00:00,2024-06-04 01:52:56+00:00,2,1.05,electric,85.0,84.0,0.53,none,standard
EB-CPH-003040,DK,Copenhagen,69,575,2025-12-30 00:53:15+00:00,2025-12-30 00:56:15+00:00,3,1.15,electric,82.0,81.0,0.61,none,standard
EB-CPH-004591,DK,Copenhagen,679,495,2025-07-25 09:40:17+00:00,2025-07-25 09:48:17+00:00,8,0.34,electric,72.0,63.0,2.38,none,payg
EB-OSL-001715,NO,Oslo,503,510,2025-08-07 07:24:55+00:00,2025-08-07 07:38:55+00:00,14,2.06,electric,80.0,68.0,2.93,lost_item,standard
EB-STO-001319,SE,Stockholm,648,695,2024-02-16 19:46:06+00:00,2024-02-16 20:06:06+00:00,20,1.1,mechanical,,,4.85,none,plus
EB-ROM-002717,IT,Rome,236,621,2024-10-06 13:39:24+00:00,2024-10-06 13:46:24+00:00,7,1.1,mechanical,,,1.42,none,standard
EB-BER-000157,DE,Berlin,35,553,2024-05-27 15:53:09+00:00,2024-05-27 16:15:09+00:00,22,0.65,mechanical,,,5.06,none,payg
EB-BER-002064,DE,Berlin,318,433,2024-07-10 20:41:54+00:00,2024-07-10 21:16:54+00:00,35,3.4,electric,45.0,19.0,9.88,none,standard
EB-OSL-000809,NO,Oslo,566,437,2024-05-13 18:39:58+00:00,2024-05-13 18:54:58+00:00,15,0.36,electric,69.0,59.0,2.97,none,payg
EB-HEL-002428,FI,Helsinki,776,302,2024-09-10 08:13:38+00:00,2024-09-10 08:20:38+00:00,7,1.16,electric,54.0,50.0,1.42,none,standard
EB-LIS-003073,PT,Lisbon,450,358,2025-09-03 19:20:29+00:00,2025-09-03 19:29:29+00:00,9,0.6,electric,75.0,66.0,2.52,none,plus
EB-PAR-003094,FR,Paris,777,438,2025-12-06 02:39:54+00:00,2025-12-06 02:55:54+00:00,16,2.07,electric,92.0,77.0,4.03,none,standard
EB-ROM-003755,IT,Rome,741,285,2024-02-09 22:26:00+00:00,2024-02-09 22:41:00+00:00,15,1.5,mechanical,,,1.96,none,standard
EB-AMS-002676,NL,Amsterdam,724,150,2024-08-22 10:27:13+00:00,2024-08-22 10:37:13+00:00,10,1.31,mechanical,,,2.83,none,standard
EB-VIE-001166,AT,Vienna,140,75,2025-04-23 03:11:26+00:00,2025-04-23 03:15:26+00:00,4,1.0,electric,74.0,71.0,0.8,none,standard
EB-LIS-001067,PT,Lisbon,685,452,2025-01-30 03:47:16+00:00,2025-01-30 03:57:16+00:00,10,1.4,electric,84.0,79.0,1.93,none,standard
EB-BCN-004938,ES,Barcelona,130,481,2024-04-23 10:49:58+00:00,2024-04-23 11:02:58+00:00,13,0.84,electric,99.0,87.0,3.49,none,plus
EB-BER-001576,DE,Berlin,64,587,2024-10-18 17:42:13+00:00,2024-10-18 18:02:13+00:00,20,2.2,electric,20.0,7.0,3.63,none,standard
EB-ZRH-003125,CH,Zurich,621,418,2024-04-05 16:49:33+00:00,2024-04-05 16:54:33+00:00,5,0.75,electric,62.0,58.0,1.39,none,plus
EB-BRU-002382,BE,Brussels,132,164,2024-01-26 21:25:51+00:00,2024-01-26 21:43:51+00:00,18,1.0,mechanical,,,3.58,none,plus
EB-CPH-001621,DK,Copenhagen,284,21,2025-08-31 09:58:24+00:00,2025-08-31 10:08:24+00:00,10,1.61,electric,81.0,74.0,2.48,none,standard
EB-WAW-001533,PL,Warsaw,475,334,2025-01-24 12:34:52+00:00,2025-01-24 12:51:52+00:00,17,1.16,electric,32.0,14.0,4.48,none,plus
EB-LIS-003288,PT,Lisbon,770,490,2024-09-28 03:36:11+00:00,2024-09-28 03:44:11+00:00,8,0.3,electric,24.0,20.0,1.97,none,payg
EB-OSL-000274,NO,Oslo,382,531,2024-08-08 12:06:01+00:00,2024-08-08 12:29:01+00:00,23,2.93,electric,43.0,24.0,6.2,none,standard
EB-BUD-002436,HU,Budapest,305,408,2025-09-21 02:05:54+00:00,2025-09-21 02:12:54+00:00,7,1.1,mechanical,,,1.72,none,standard
EB-BUD-000071,HU,Budapest,281,279,2025-02-22 09:37:50+00:00,2025-02-22 09:47:50+00:00,10,1.4,electric,29.0,24.0,2.05,none,standard
EB-OSL-003013,NO,Oslo,326,746,2025-11-03 07:30:37+00:00,2025-11-03 07:39:37+00:00,9,0.72,mechanical,,,2.22,none,plus
EB-CPH-001506,DK,Copenhagen,311,10,2024-06-22 16:30:28+00:00,2024-06-22 17:07:28+00:00,37,2.37,electric,89.0,50.0,11.52,none,payg
EB-ROM-000514,IT,Rome,604,118,2025-04-22 21:56:43+00:00,2025-04-22 22:53:43+00:00,57,2.4,mechanical,,,8.84,none,payg
EB-MUC-002131,DE,Munich,743,433,2024-05-18 20:08:18+00:00,2024-05-18 20:31:18+00:00,23,1.64,electric,45.0,17.0,9.79,electrical,plus
EB-PAR-001944,FR,Paris,794,4,2024-07-06 16:16:50+00:00,2024-07-06 16:18:50+00:00,2,0.33,electric,31.0,30.0,0.38,none,payg
EB-BUD-003326,HU,Budapest,182,101,2025-09-15 15:31:32+00:00,2025-09-15 16:11:32+00:00,40,1.55,mechanical,,,10.71,none,payg
EB-BCN-000790,ES,Barcelona,515,766,2025-08-07 11:33:16+00:00,2025-08-07 12:10:16+00:00,37,2.6,mechanical,,,7.43,none,standard
EB-BUD-000741,HU,Budapest,160,618,2025-06-24 09:10:36+00:00,2025-06-24 11:23:36+00:00,133,7.4,mechanical,,,28.37,none,standard
